,_id,degrees,majors,skills
0,62ea4aef9964a9062d2b18dc,"['BS-LEVEL','MS-LEVEL']","['software engineering', 'cybersecurity']","['redux', 'react', '.net', 'apache-hadoop', 'apache-spark', 'laravel', 'node.js', 'php', 'cpp', 'mongodb', 'scikit-learn', 'apache-hbase', 'mysql', 'flutter', 'symfony', 'numpy', 'active-shape-model', 'shell', 'postgresql', 'pandas', 'r', 'angular', 'linux', 'c', 'javascript', 'python', 'flask']"
1,62ea4b029964a9062d2b18dd,['BS-LEVEL'],"['artificial intelligence', 'software engineering']","['react', 'react-native', 'django', 'computer-vision', 'bootstrap', 'opencv', 'web-development', 'java', 'php', 'github', 'matlab', 'engineering', 'git', 'cpp', 'software', 'mongodb', 'mysql', 'flutter', 'testing', 'devops', 'symfony', 'active-shape-model', 'postgresql', 'r', 'dart', 'html', 'angular', 'selenium', 'f', 'software-engineering', 'css', 'artificial-intelligence', 'agile-project-management', 'c', 'javascript', 'python', 'android', 'flask']"
2,62ea4b0f9964a9062d2b18de,"['BS-LEVEL','MS-LEVEL','PHD-LEVEL']",['software development'],"['react', 'react-native', '.net', 'database', 'communications', 'laravel', 'deep-learning', 'node.js', 'github', 'cpp', 'api', 'mongodb', 'mysql', 'docker', 'flutter', 'aws', 'deployment', 'testing', 'devops', 'symfony', 'junit', 'active-shape-model', 'mobile-development', 'postgresql', 'monitoring', 'cassandra', 'android', 'azure', 'graphql', 'angular', 'f', 'ansible', 'linux', 'c', 'kubernetes', 'play', 'javascript', 'python', 'pusher', 'programming-languages']"
3,62ea4b359964a9062d2b18df,['BS-LEVEL'],"['business administration','business analytics']","[""marketing"",""business analysis"",""fraud detection"",""excel"",""forecasting""]"
4,62ea4b459964a9062d2b18e0,"['BS-LEVEL','MS-LEVEL']","['software engineering','artificial intelligence']","[""mongodb"",""computer science"",""engineering"",""business"",""data analysis"",""artificial intelligence"",""tableau"",""data visualization"",""sql"",""machine learning"",""fraud detection"",""python""]"
5,62ea4b4d9964a9062d2b18e1,[],['software engineering'],"['react', 'django', 'socket.io', 'database', 'neural-network', 'node.js', 'php', 'backend', 'typescript', 'symfony', 'server', 'active-shape-model', 'heroku', 'expressjs', 'r', 'html', 'f', 'angular', 'frontend', 'software-engineering', 'css', 'front-and-back-ends', 'expectation-maximization-algorithm', 'c', 'javascript', 'python', 'postgresql']"
6,62ea4b5d9964a9062d2b18e2,['BS-LEVEL'],['software engineering'],"[""engineering"",""html"",""css"",""angular"",""react js"",""mongodb"",""web development"",""github"",""devops"",""responsive design""]"
7,62ea4b849964a9062d2b18e3,"['BS-LEVEL','MS-LEVEL']",['software engineering'],"[""engineering"",""mobile development"",""flutter"",""design"",""mongodb"",""artificial intelligence"",""python"",""data mining""]"
8,62ea4b939964a9062d2b18e4,"['BS-LEVEL','MS-LEVEL','PHD-LEVEL']","['artificial intelligence', 'network security', 'cybersecurity']","[""mongodb"",""computer science"",""engineering"",""business"",""data analysis"",""artificial intelligence"",""tableau"",""data visualization"",""sql"",""machine learning"",""fraud detection"",""python"",""public speaking"",""marketing"",""deployment"",""github"",""tensorflow""]"
9,62ea4bc79964a9062d2b18e5,['BS-LEVEL'],['software engineering'],"['react', 'bootstrap', 'database', 'opencv', 'deep-learning', 'clone-java-method', 'web-development', 'node.js', 'backend', 'git', 'user-interface', 'mysql', 'machine-learning', 'devops', 'jupyter', 'numpy', 'rabbitmq', 'expressjs', '3d', 'pandas', 'flask', 'graphql', 'html', 'component', 'angular', 'sentiment-analysis', 'software-engineering', 'linux', 'modelling', 'javascript', 'python', 'postgresql', 'pytorch']"
